,Intersection Point,Profit
117,"(2.966244999412062, 128.54970414201185)",1354680.44
118,"(2.9713649364849175, 264.89547950039776)",2297734.92
119,"(2.997162662567936, 107.35453747643551)",1267566.48
120,"(3.0172408136799618, 149.6295358141223)",1528908.89
121,"(3.0551683035100154, 279.7402581563745)",2367992.78
122,"(3.0594428596894794, 134.62421419111266)",1406246.09
123,"(3.0805871444163273, 134.88739994010933)",1409095.69
124,"(3.0861306845940106, 49.08762740923744)",581405.16
125,"(3.11233836186336, 287.41552963547)",2401447.63
126,"(3.1404997864996016, 287.1124756346265)",2399464.17
127,"(3.1794331720876423, 49.06663365830052)",581684.37
128,"(3.1803545689283794, 282.29029050462896)",2382860.62
129,"(3.1906123027283826, 236.36421710766052)",2135144.24
130,"(3.1913127189655626, 202.56268067772137)",1910289.67
131,"(3.204456839803756, 278.0259076099546)",2356819.83
132,"(3.213647755780812, 238.32466021747834)",2150709.88
133,"(3.216435038003496, 227.52039544711477)",2090504.96
134,"(3.2400933004518837, 283.55158595539274)",2390247.89
135,"(3.2585201161405166, 391.3369535989837)",2475711.22
136,"(3.271067672292034, 104.16848999303247)",1242475.36
137,"(3.2915036829717614, 133.95365864680102)",1400891.52
138,"(3.315941931220795, 46.795953030379295)",550968.99
139,"(3.3280207236016963, 265.01967346712587)",2301729.79
140,"(3.341374842400782, 139.00679754586443)",1445238.54
141,"(3.3473453681604965, 141.85973780665157)",1473094.52
142,"(3.3541652570141576, 282.10893468126466)",2382817.6
143,"(3.3622167856915732, 46.026219159278924)",541369.66
144,"(3.3850801188810618, 281.71795896553357)",2379817.71
145,"(3.442417825484684, 280.9928174147078)",2375912.15
146,"(3.448659889485743, 134.88739994010933)",1411553.86
147,"(3.481265404161828, 133.40532923711288)",1397686.55
148,"(3.5306116096854794, 279.877443584173)",2369274.75
149,"(3.5330152020645254, 43.185165897931846)",500980.96
150,"(3.5568316827833346, 279.54584217220196)",2368658.39
151,"(3.585462284901748, 133.10424525795653)",1393722.32
152,"(3.6055322383614072, 104.821681308996)",1249076.3
153,"(3.6359554577471798, 133.95365864680102)",1401627.95
154,"(3.694908358623332, 272.39382191767834)",2343841.71
155,"(3.7296690457629964, 185.31684634798725)",1797945.79
156,"(3.7562989508985876, 280.48566598640116)",2373775.16
157,"(3.77466807897731, 276.7908972760902)",2350720.05
158,"(3.8070670775661775, 279.93933411219103)",2372126.53
159,"(3.8083431754560877, 297.1860217015842)",2429988.99
160,"(3.817139583984826, 50.90436890881896)",606847.54
161,"(3.8191963717490545, 270.966564148895)",2341572.56
162,"(3.895470015221342, 262.39978617862255)",2310526.57
163,"(3.901223595492431, 37.06040385845559)",426985.21
164,"(3.9180313175439636, 282.10893468126466)",2384243.78
165,"(3.943225546669142, 146.04545454545453)",1512239.93
166,"(3.9500629691524303, 133.20574918329743)",1397203.47
167,"(3.961634822070325, 269.3308763646768)",2336232.84
168,"(3.999308157946686, 107.00530662056617)",1273596.76
169,"(4.000668040041289, 145.78676470588235)",1509997.33
170,"(4.049081553848547, 277.33493975903616)",2354854.46
171,"(4.080734124802504, 272.9201249646149)",2337803.89
172,"(4.104282472118205, 272.62231247605587)",2344884.37
173,"(4.108371348663852, 102.72818552545323)",1229740.03
174,"(4.125450184684695, 238.4111193200528)",2155925.83
175,"(4.2234222435872795, 103.91586148626654)",1243713.26
176,"(4.224769481398347, 266.30917718937354)",2316752.77
177,"(4.235204237232995, 270.966564148895)",2345012.53
178,"(4.2597732232748875, 31.096305297132837)",354485.93
179,"(4.268136623171783, 265.8111718833956)",2313102.04
180,"(4.280331261052817, 270.3958493091286)",2341317.29
181,"(4.340477296411969, 101.76184696309753)",1220953.66
182,"(4.377100635306931, 111.2415670253284)",1293584.72
183,"(4.4885607731515655, 267.7624012646363)",2329530.25
184,"(4.4957432569754125, 88.02146657896907)",1059063.56
185,"(4.5080683515207856, 267.515691787236)",2327844.14
186,"(4.511801505177028, 26.90407806543372)",310917.28
187,"(4.513691029348266, 287.1124756346265)",2407778.37
188,"(4.560135443483819, 143.26722691519535)",1492058.67
189,"(4.560720677716166, 122.83379832907613)",1340005.51
190,"(4.60525376048869, 261.9398970828334)",2312335.36
191,"(4.635176519256191, 270.471625709209)",2344895.84
192,"(4.637725720803399, 74.52531915086395)",910507.35
193,"(4.640865623027906, 270.966564148895)",2348365.65
194,"(4.670823865781005, 265.45734671194396)",2313381.21
195,"(4.6907221263563255, 270.4300425418772)",2345000.05
196,"(4.716323751987378, 105.67742450227387)",1263570.49
197,"(4.736396469933453, 270.3958493091286)",2345088.32
198,"(4.79286262070973, 269.3308763646768)",2343083.9
199,"(4.797513170131761, 51.000205250457995)",615083.95
200,"(4.823705084564789, 99.75)",1199058.16
